ID,Category,CategoryForExport,Subcategory,Name,Method,MethodArgument,RegistryPath,RegistryItem,ClassName,Namespace,Property,DefaultValue,RecommendedValue,Operator,Severity,OMP
1.1.1,Account Policies,Account Policies,Password Policy,Length of password history maintained,accountpolicy,,,,,,,24,24,>=,Low,� 
1.1.2,Account Policies,Account Policies,Password Policy,Maximum password age,accountpolicy,,,,,,,42,60,<=!0,Low,� 
1.1.3,Account Policies,Account Policies,Password Policy,Minimum password age,accountpolicy,,,,,,,1,1,>=,Low,� 
1.1.4,Account Policies,Account Policies,Password Policy,Minimum password length,accountpolicy,,,,,,,7,14,>=,Medium,� 
1.1.5,Account Policies,Account Policies,Password Policy,Password must meet complexity requirements,secedit,System Access\PasswordComplexity,,,,,,1,1,=,Medium,� 
1.1.6,Account Policies,Account Policies,Password Policy,Store passwords using reversible encryption,secedit,System Access\ClearTextPassword,,,,,,0,0,=,High,� 
1.2.1,Account Policies,Account Policies,Account Lockout Policy,Account lockout duration,accountpolicy,,,,,,,30,15,>=,Low,� 
1.2.2,Account Policies,Account Policies,Account Lockout Policy,Account lockout threshold,accountpolicy,,,,,,,Nie,10,<=!0,Low,� 
1.2.3,Account Policies,Account Policies,Account Lockout Policy,Reset account lockout counter,accountpolicy,,,,,,,30,15,>=,Low,� 
2.2.1,User Rights Assignment,Local Policies,User Rights Assignment,Access Credential Manager as a trusted caller,accesschk,SeTrustedCredManAccessPrivilege,,,,,,,,=,Medium,� 
2.2.2,User Rights Assignment,Local Policies,User Rights Assignment,Access this computer from the network (DC),accesschk,SeNetworkLogonRight,,,,,,NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS;BUILTIN\Pre-Windows 2000 Compatible Access;BUILTIN\Administrators;NT AUTHORITY\Authenticated Users;Everyone,NT AUTHORITY\ENTERPRISE DOMAIN CONTROLLERS;BUILTIN\Administrators;NT AUTHORITY\Authenticated Users,=,Medium,� 
2.2.3,User Rights Assignment,Local Policies,User Rights Assignment,Access this computer from the network (Member),accesschk,SeNetworkLogonRight,,,,,,BUILTIN\Users;BUILTIN\Administrators;NT AUTHORITY\Authenticated Users;Everyone,BUILTIN\Administrators;NT AUTHORITY\Authenticated Users,=,Medium,� 
2.2.4,User Rights Assignment,Local Policies,User Rights Assignment,Act as part of the operating system,accesschk,SeTcbPrivilege,,,,,,,,=,Medium,� 
2.2.5,User Rights Assignment,Local Policies,User Rights Assignment,Add workstations to domain (DC),accesschk,SeMachineAccountPrivilege,,,,,,NT AUTHORITY\Authenticated Users,BUILTIN\Administrators,=,Medium,� 
2.2.6,User Rights Assignment,Local Policies,User Rights Assignment,Adjust memory quotas for a process,accesschk,SeIncreaseQuotaPrivilege,,,,,,BUILTIN\Administrators;NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE,BUILTIN\Administrators;NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE,=,Medium,� 
2.2.7,User Rights Assignment,Local Policies,User Rights Assignment,Allow log on locally,accesschk,SeInteractiveLogonRight,,,,,,BUILTIN\Backup Operators;BUILTIN\Administrators;BUILTIN\Print Operators;BUILTIN\Account Operators,BUILTIN\Administrators,=,Medium,� 
2.2.8,User Rights Assignment,Local Policies,User Rights Assignment,Allow log on through Remote Desktop Services (DC),accesschk,SeRemoteInteractiveLogonRight,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium,� 
2.2.9,User Rights Assignment,Local Policies,User Rights Assignment,Allow log on through Remote Desktop Services (Member),accesschk,SeRemoteInteractiveLogonRight,,,,,,BUILTIN\Remote Desktop Users;BUILTIN\Administrators,BUILTIN\Remote Desktop Users;BUILTIN\Administrators,=,Medium,� 
2.2.10,User Rights Assignment,Local Policies,User Rights Assignment,Back up files and directories,accesschk,SeBackupPrivilege,,,,,,BUILTIN\Administrators;BUILTIN\Backup Operators;BUILTIN\Server Operators,BUILTIN\Administrators,=,Medium,� 
2.2.11,User Rights Assignment,Local Policies,User Rights Assignment,Change the system time,accesschk,SeSystemTimePrivilege,,,,,,BUILTIN\Administrators;NT AUTHORITY\LOCAL SERVICE;BUILTIN\Server Operators,BUILTIN\Administrators;NT AUTHORITY\LOCAL SERVICE,=,Medium,� 
2.2.12,User Rights Assignment,Local Policies,User Rights Assignment,Change the time zone,accesschk,SeTimeZonePrivilege,,,,,,BUILTIN\Device Owners;BUILTIN\Users;BUILTIN\Administrators;NT AUTHORITY\LOCAL SERVICE,BUILTIN\Administrators;NT AUTHORITY\LOCAL SERVICE,=,Medium,� 
2.2.13,User Rights Assignment,Local Policies,User Rights Assignment,Create a pagefile,accesschk,SeCreatePagefilePrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium,� 
2.2.14,User Rights Assignment,Local Policies,User Rights Assignment,Create a token object,accesschk,SeCreateTokenPrivilege,,,,,,,,=,Medium,� 
2.2.15,User Rights Assignment,Local Policies,User Rights Assignment,Create global objects,accesschk,SeCreateGlobalPrivilege,,,,,,NT AUTHORITY\SERVICE;BUILTIN\Administrators;NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\SERVICE;BUILTIN\Administrators;NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE,=,Medium,� 
2.2.16,User Rights Assignment,Local Policies,User Rights Assignment,Create permanent shared objects,accesschk,SeCreatePermanentPrivilege,,,,,,,,=,Medium,� 
2.2.17,User Rights Assignment,Local Policies,User Rights Assignment,Create symbolic links (DC),accesschk,SeCreateSymbolicLinkPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium,� 
2.2.18.1,User Rights Assignment,Local Policies,User Rights Assignment,Create symbolic links (Member),accesschk,SeCreateSymbolicLinkPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium,� 
2.2.18.2,User Rights Assignment,Local Policies,User Rights Assignment,"Create symbolic links (Member, Hyper-V)",accesschk,SeCreateSymbolicLinkPrivilege,,,,,,S-1-5-83-0;BUILTIN\Administrators,NT VIRTUAL MACHINE\Virtual Machines;BUILTIN\Administrators,=,Medium,� 
2.2.19,User Rights Assignment,Local Policies,User Rights Assignment,Debug programs,accesschk,SeDebugPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium,� 
2.2.20,User Rights Assignment,Local Policies,User Rights Assignment,Deny access to this computer from the network (DC),accesschk,SeDenyNetworkLogonRight,,,,,,BUILTIN\Guests,BUILTIN\Guests,=,Medium,� 
2.2.21,User Rights Assignment,Local Policies,User Rights Assignment,Deny access to this computer from the network (Member),accesschk,SeDenyNetworkLogonRight,,,,,,,BUILTIN\Guests;NT AUTHORITY\Local account and member of Administrators group,=,Medium,� 
2.2.22,User Rights Assignment,Local Policies,User Rights Assignment,Deny log on as a batch job,accesschk,SeDenyBatchLogonRight,,,,,,,BUILTIN\Guests,=,Medium,� 
